name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,1036,1021750890,547,544,1,0.75,1,40,,residential,6,"LINESTRING (-111.9142114 33.4125879, -111.9142110 33.4125947)",auto,0,0,,
South Oak Street,1037,1021750891,546,136,1,101.87,,40,,residential,6,"LINESTRING (-111.9142669 33.4125407, -111.9142697 33.4121054, -111.9142728 33.4116219)",auto,1,0,,
South Oak Street,1038,1021750891,136,546,1,101.87,,40,,residential,6,"LINESTRING (-111.9142728 33.4116219, -111.9142697 33.4121054, -111.9142669 33.4125407)",auto,1,0,,
East Williams Street,1039,1021750892,156,194,1,133.44,,40,,residential,6,"LINESTRING (-111.9169767 33.4127174, -111.9167608 33.4127541, -111.9166149 33.4127796, -111.9164690 33.4127787, -111.9162727 33.4127749, -111.9161413 33.4127697, -111.9159428 33.4127480, -111.9155575 33.4126880)",auto,1,0,,
East Williams Street,1040,1021750892,194,156,1,133.44,,40,,residential,6,"LINESTRING (-111.9155575 33.4126880, -111.9159428 33.4127480, -111.9161413 33.4127697, -111.9162727 33.4127749, -111.9164690 33.4127787, -111.9166149 33.4127796, -111.9167608 33.4127541, -111.9169767 33.4127174)",auto,1,0,,
East Williams Street,1041,1021750892,194,545,1,115.18,,40,,residential,6,"LINESTRING (-111.9155575 33.4126880, -111.9151300 33.4126284, -111.9149783 33.4126151, -111.9148032 33.4126016, -111.9143264 33.4125881)",auto,1,0,,
East Williams Street,1042,1021750892,545,194,1,115.18,,40,,residential,6,"LINESTRING (-111.9143264 33.4125881, -111.9148032 33.4126016, -111.9149783 33.4126151, -111.9151300 33.4126284, -111.9155575 33.4126880)",auto,1,0,,
,1043,1021750895,162,548,1,7.79,1,40,,residential,6,"LINESTRING (-111.9124088 33.4125927, -111.9124138 33.4126078, -111.9124244 33.4126207, -111.9124394 33.4126302, -111.9124572 33.4126352, -111.9124660 33.4126352)",auto,0,0,,
,1044,1021750895,548,549,1,8.66,1,40,,residential,6,"LINESTRING (-111.9124660 33.4126352, -111.9124760 33.4126353, -111.9124938 33.4126303, -111.9125088 33.4126208, -111.9125198 33.4126072, -111.9125247 33.4125914, -111.9125242 33.4125860)",auto,0,0,,
,1045,1021750895,549,550,1,8.49,1,40,,residential,6,"LINESTRING (-111.9125242 33.4125860, -111.9125231 33.4125751, -111.9125150 33.4125602, -111.9125015 33.4125483, -111.9124841 33.4125408, -111.9124647 33.4125387)",auto,0,0,,
,1046,1021750895,550,162,1,8.87,1,40,,residential,6,"LINESTRING (-111.9124647 33.4125387, -111.9124455 33.4125420, -111.9124287 33.4125504, -111.9124166 33.4125624, -111.9124097 33.4125770, -111.9124092 33.4125859, -111.9124088 33.4125927)",auto,0,0,,
East Williams Street,1047,1021750896,547,549,1,156.87,,40,,residential,6,"LINESTRING (-111.9142114 33.4125879, -111.9125242 33.4125860)",auto,1,0,,
East Williams Street,1048,1021750896,549,547,1,156.87,,40,,residential,6,"LINESTRING (-111.9125242 33.4125860, -111.9142114 33.4125879)",auto,1,0,,
South Elm Street,1049,1021750897,550,137,1,100.36,,40,,residential,6,"LINESTRING (-111.9124647 33.4125387, -111.9124632 33.4121054, -111.9124617 33.4116335)",auto,1,0,,
South Elm Street,1050,1021750897,137,550,1,100.36,,40,,residential,6,"LINESTRING (-111.9124617 33.4116335, -111.9124632 33.4121054, -111.9124647 33.4125387)",auto,1,0,,
,1051,1021750898,146,51,1,7.86,1,40,,residential,6,"LINESTRING (-111.9124112 33.4135548, -111.9124155 33.4135685, -111.9124243 33.4135806, -111.9124369 33.4135900, -111.9124523 33.4135960, -111.9124690 33.4135981)",auto,0,0,,
,1052,1021750898,51,551,1,8.61,1,40,,residential,6,"LINESTRING (-111.9124690 33.4135981, -111.9124843 33.4135964, -111.9124986 33.4135913, -111.9125108 33.4135834, -111.9125200 33.4135730, -111.9125256 33.4135610, -111.9125273 33.4135482)",auto,0,0,,
,1053,1021750898,551,552,1,8.5,1,40,,residential,6,"LINESTRING (-111.9125273 33.4135482, -111.9125239 33.4135332, -111.9125152 33.4135197, -111.9125018 33.4135092, -111.9124853 33.4135027, -111.9124671 33.4135008)",auto,0,0,,
,1054,1021750898,552,146,1,8.87,1,40,,residential,6,"LINESTRING (-111.9124671 33.4135008, -111.9124514 33.4135031, -111.9124370 33.4135089, -111.9124250 33.4135176, -111.9124163 33.4135288, -111.9124116 33.4135415, -111.9124112 33.4135548)",auto,0,0,,
East Hudson Drive,1055,1021750899,543,551,1,156.05,,40,,residential,6,"LINESTRING (-111.9142057 33.4135528, -111.9125273 33.4135482)",auto,1,0,,
East Hudson Drive,1056,1021750899,551,543,1,156.05,,40,,residential,6,"LINESTRING (-111.9125273 33.4135482, -111.9142057 33.4135528)",auto,1,0,,
South Elm Street,1057,1021750900,552,548,1,95.97,,40,,residential,6,"LINESTRING (-111.9124671 33.4135008, -111.9124672 33.4130603, -111.9124660 33.4126352)",auto,1,0,,
South Elm Street,1058,1021750900,548,552,1,95.97,,40,,residential,6,"LINESTRING (-111.9124660 33.4126352, -111.9124672 33.4130603, -111.9124671 33.4135008)",auto,1,0,,
