name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,178,330683970,traffic_signals,,signal,,,,-111.920448,33.4147071,,,
,179,330683938,traffic_signals,,signal,,,,-111.920545,33.4148706,,,
,180,9695133309,,,,,,,-111.9215021,33.4148281,,,
,181,330683969,traffic_signals,,signal,,,,-111.926292,33.4146937,,,
,182,5165146154,,,,,,,-111.9226783,33.414714,,,
,183,330683967,traffic_signals,,signal,,,,-111.930665,33.4146657,,,
,184,335589267,,,,,,,-111.930544,33.4115482,,,
,185,330691322,traffic_signals,,signal,,,,-111.926298,33.420098,,,
,186,330689192,traffic_signals,,signal,,,,-111.922535,33.416758,,,
,187,1501648858,,,,,,,-111.9203915,33.4149452,,,
,188,330689685,traffic_signals,,signal,,,,-111.922338,33.4167546,,,
,189,41654678,,,,,,,-111.920587,33.4167118,,,
,190,41654679,,,,,,,-111.9187765,33.4166821,,,
,191,41800471,,,,,,,-111.9307043,33.4135726,,,
,192,5618898812,,,,,,,-111.9228964,33.4220263,,,
,193,,,,,,,,-111.9228965,33.4221,,,boundary node created by osm2gmns
,194,337829641,,,,,,,-111.9155575,33.412688,,,
,195,41546646,,,,,,,-111.9177587,33.409496,,,
,196,5200239411,,,,,,,-111.9176978,33.4092243,,,
,197,5333560369,,,,,,,-111.9366575,33.4176535,,,
,198,9880292082,,,,,,,-111.9396414,33.4176196,,,
,199,5200239624,,,,,,,-111.9349506,33.4161111,,,
,200,42351327,,,,,,,-111.933278,33.4160881,,,
,201,1799680779,turning_circle,,,,,,-111.918685,33.4188785,,,
,202,41715037,,,,,,,-111.9186841,33.4184064,,,
,203,41533545,,,,,,,-111.9411894,33.4147443,,,
,204,,,,,,,,-111.9436,33.4147201,,,boundary node created by osm2gmns
,205,2305982037,,,,,,,-111.9162827,33.4112033,,,
,206,2305982038,,,,,,,-111.9161795,33.4114003,,,
,207,2305982039,,,,,,,-111.91602,33.4111855,,,
,208,2305982040,,,,,,,-111.9159402,33.4113278,,,
,209,2305982041,,,,,,,-111.9156252,33.411153,,,
,210,2321431354,,,,,,,-111.9366784,33.4212889,,,
,211,2321431315,,,,,,,-111.9366517,33.4212922,,,
,212,317701014,,,,,,,-111.940029,33.4174558,,,
,213,2625359002,,,,,,,-111.9398439,33.4174549,,,
,214,2625358994,traffic_signals,,signal,,,,-111.939492,33.4160741,,,
,215,2941419917,traffic_signals,,signal,,,,-111.939939,33.4219356,,,
,216,,,,,,,,-111.9399447,33.4221,,,boundary node created by osm2gmns
,217,2860653270,traffic_signals,,signal,,,,-111.936661,33.4219911,,,
,218,9423610352,,,,,,,-111.914264,33.4135032,,,
,219,9423610371,,,,,,,-111.9142682,33.4126373,,,
,220,3248854377,,,,,,,-111.921572,33.411344,,,
,221,3248854378,,,,,,,-111.920032,33.4113543,,,
,222,7890703228,,,,,,,-111.9091067,33.4136842,,,
,223,8464164201,,,,,,,-111.9091115,33.412465,,,
,224,5176314770,traffic_signals,,signal,,,,-111.930766,33.4220427,,,
,225,5261052497,,,,,,,-111.9339909,33.4220122,,,
,226,3458373557,,,,,,,-111.9220806,33.4148179,,,
,227,3458373555,,,,,,,-111.9220805,33.4147096,,,
,228,330683944,traffic_signals,,signal,,,,-111.932805,33.4147645,,,
,229,4716137944,,,,,,,-111.9338244,33.4181047,,,
,230,316872733,,,,,,,-111.9337083,33.4173613,,,
,231,3983483484,,,,,,,-111.9391606,33.4145063,,,
,232,316880683,turning_circle,,,,,,-111.9396432,33.4145427,,,
,233,3519323221,,,,,,,-111.9090248,33.4212419,,,
,234,,,,,,,,-111.9088,33.4174859,,,boundary node created by osm2gmns
,235,4347900924,,,,,,,-111.9256844,33.4075643,,,
,236,4084525376,traffic_signals,,signal,,,,-111.926277,33.4075074,,,
,237,317654988,,,,,,,-111.9205552,33.4187226,,,
,238,3613374067,,,,,,,-111.936617,33.4190938,,,
,239,4347879979,,,,,,,-111.926299,33.4195429,,,
,240,3983274586,,,,,,,-111.9154572,33.4075088,,,
,241,4084526282,,,,,,,-111.9154658,33.4074418,,,
,242,3983274697,,,,,,,-111.9177031,33.4071744,,,
,243,41883123,traffic_signals,,signal,,,,-111.917698,33.4074448,,,
,244,3983456162,,,,,,,-111.9338336,33.4073034,,,
,245,,,,,,,,-111.9338777,33.4071,,,boundary node created by osm2gmns
,246,41582918,traffic_signals,,signal,,,,-111.9311382,33.4075231,,,
,247,6496439524,,,,,,,-111.9311381,33.407433,,,
,248,,,,,,,,-111.9310965,33.4071,,,boundary node created by osm2gmns
,249,3983456179,,,,,,,-111.9305895,33.4076081,,,
,250,3872996560,,,,,,,-111.9269827,33.4076415,,,
,251,3983463712,,,,,,,-111.9348907,33.4096079,,,
,252,3983463705,,,,,,,-111.9349415,33.409658,,,
,253,3983456208,,,,,,,-111.9350228,33.4107541,,,
,254,3983463711,,,,,,,-111.9349406,33.4096046,,,
,255,5341183656,,,,,,,-111.9344649,33.4096352,,,
,256,5341183677,,,,,,,-111.9349226,33.4103317,,,
,257,3983463698,,,,,,,-111.934915,33.4093789,,,
,258,5200239420,,,,,,,-111.9349055,33.4071062,,,
,259,,,,,,,,-111.9349055,33.4071,,,boundary node created by osm2gmns
,260,3983463704,,,,,,,-111.9348914,33.4096614,,,
,261,3983463695,,,,,,,-111.9346152,33.4096628,,,
,262,3983489070,,,,,,,-111.9399036,33.4106076,,,
,263,3983483049,,,,,,,-111.9398969,33.4089933,,,
,264,8813118513,,,,,,,-111.93992,33.4154527,,,
