name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
West Hall,28,28822716,,university,,,,"POLYGON ((-111.9360706 33.4194131, -111.9357703 33.4194131, -111.9356415 33.4194131, -111.9356415 33.419363, -111.9357496 33.419363, -111.9357874 33.419363, -111.9357883 33.4191785, -111.9357466 33.4191801, -111.9357411 33.4190404, -111.9357892 33.4190404, -111.9357874 33.4188758, -111.9357422 33.4188758, -111.9356844 33.4188758, -111.9356844 33.4188598, -111.9356844 33.4188113, -111.9360706 33.4188113, -111.9360697 33.4188832, -111.9359901 33.4188834, -111.935987 33.4189019, -111.9359115 33.418902, -111.9359106 33.4190438, -111.9359783 33.4190423, -111.9359819 33.4191736, -111.9359106 33.4191728, -111.9359124 33.4193159, -111.9359925 33.419314, -111.935992 33.4193344, -111.9360678 33.4193338, -111.9360706 33.4194131))",POINT (-111.9358671 33.4191156),1341.9,14444.2
Dixie Gammage Hall,29,28822719,,university,,,,"POLYGON ((-111.9360706 33.4188113, -111.9363796 33.4188113, -111.9363796 33.4194131, -111.9360706 33.4194131, -111.9360678 33.4193338, -111.936272 33.4193327, -111.9362711 33.4191441, -111.9361681 33.4191441, -111.9361681 33.4190796, -111.9362711 33.4190796, -111.9362711 33.418879, -111.9360697 33.4188832, -111.9360706 33.4188113))",POINT (-111.9362726 33.4191167),1051.4,11317.0
Matthews Hall,30,28822867,,yes,,,,"POLYGON ((-111.9358648 33.4200648, -111.9360193 33.4200648, -111.9360193 33.4200218, -111.9362424 33.4200218, -111.9362424 33.4200648, -111.9364141 33.4200648, -111.9364141 33.420165, -111.9362424 33.420165, -111.9362424 33.4202224, -111.9360193 33.4202224, -111.9360193 33.420165, -111.9358648 33.420165, -111.9358648 33.4200648))",POINT (-111.936137 33.4201191),798.2,8591.7
A J Matthews Center,31,28822889,,university,,,,"POLYGON ((-111.9357156 33.4197326, -111.9354663 33.4197312, -111.9354666 33.4196889, -111.9352783 33.4196879, -111.935275 33.4201042, -111.9352743 33.4201898, -111.935712 33.4201922, -111.9357156 33.4197326))",POINT (-111.9354903 33.4199516),2155.6,23202.6
Lyceum Theatre,32,28822944,,yes,,,,"POLYGON ((-111.936302 33.4203349, -111.9364816 33.420334, -111.9364836 33.4206079, -111.9364989 33.4206079, -111.9364996 33.4207035, -111.9364883 33.4207036, -111.9364888 33.4207591, -111.9363336 33.4207599, -111.9363332 33.4207022, -111.9363205 33.4207022, -111.9363198 33.4206081, -111.9363317 33.4206081, -111.9363309 33.4204894, -111.9363031 33.4204895, -111.936302 33.4203349))",POINT (-111.9364025 33.4205433),738.2,7946.2
Center for Family Studies,33,28822952,,yes,,,,"POLYGON ((-111.9361172 33.4208705, -111.9363345 33.4208698, -111.9363345 33.4208775, -111.9363979 33.4208774, -111.9363986 33.4210438, -111.9364539 33.4210437, -111.9364544 33.421174, -111.9363591 33.4211743, -111.9363592 33.4211844, -111.9362212 33.4211848, -111.936221 33.4211248, -111.936354 33.4211244, -111.9363535 33.4210182, -111.9361178 33.4210189, -111.9361172 33.4208705))",POINT (-111.9362931 33.421007),653.8,7037.0
Fulton Center,34,28822961,,university,,,,"POLYGON ((-111.9348615 33.4224732, -111.9340743 33.4224802, -111.9340691 33.4220657, -111.9348562 33.4220588, -111.9348615 33.4224732))",POINT (-111.9344653 33.4222695),3362.9,36198.2
Schwada Building,35,28866501,,university,,,,"POLYGON ((-111.9309023 33.4195017, -111.9305034 33.4195076, -111.9305025 33.419468, -111.9305009 33.4193917, -111.9305264 33.4193913, -111.9305253 33.419337, -111.9304662 33.4193379, -111.9304651 33.419286, -111.9302901 33.4192885, -111.9302857 33.4190784, -111.9302787 33.418738, -111.9303455 33.418737, -111.930345 33.4187127, -111.9305011 33.4187104, -111.930499 33.4186108, -111.930887 33.4186052, -111.9308938 33.4189335, -111.9308083 33.4189347, -111.9308091 33.4189711, -111.9308111 33.419067, -111.9307774 33.4190675, -111.9307786 33.4191226, -111.9308086 33.4191222, -111.9308105 33.4192112, -111.9308961 33.4192099, -111.9309023 33.4195017))",POINT (-111.9306061 33.419042),4651.2,50065.3
Interdisciplinary Sci. & Tech. 1,36,28866562,,yes,,,,"POLYGON ((-111.9316499 33.4192556, -111.9316482 33.4190775, -111.9316038 33.4190797, -111.9316052 33.4190443, -111.9316486 33.419044, -111.9316465 33.4185236, -111.9316032 33.4185245, -111.931603 33.4185325, -111.9315923 33.4185326, -111.9315923 33.4184534, -111.9314226 33.4184584, -111.9314252 33.4191027, -111.9313451 33.4191034, -111.9313384 33.4190772, -111.93136 33.4190713, -111.9312621 33.4187021, -111.9311495 33.4188817, -111.931183 33.4190086, -111.9311624 33.419152, -111.9312124 33.4192712, -111.9312669 33.4192569, -111.9312595 33.4192354, -111.9313244 33.419212, -111.9313247 33.4192582, -111.9316499 33.4192556))",POINT (-111.9314457 33.4189223),2692.4,28981.2
Parking Lot 27,37,28866684,,,parking,,,"POLYGON ((-111.9315037 33.4182354, -111.9314952 33.417519, -111.9312892 33.417519, -111.9312892 33.4182354, -111.9315037 33.4182354))",POINT (-111.9313943 33.4178796),1552.6,16711.8
